code,name,mrp,discount_percent,final_price,stock,min_qty,brand
BC13,SBL Bio Combination 13,130,25,98,100,1,SBL
BC14,SBL Bio Combination 14,140,25,105,100,1,SBL
BC15,SBL Bio Combination 15,150,25,112,100,1,SBL
BC16,SBL Bio Combination 16,160,25,120,100,1,SBL
BC17,SBL Bio Combination 17,170,25,128,100,1,SBL
BC18,SBL Bio Combination 18,120,25,90,100,1,SBL
BC19,SBL Bio Combination 19,130,25,98,100,1,SBL
BC20,SBL Bio Combination 20,140,25,105,100,1,SBL
BC21,SBL Bio Combination 21,150,25,112,100,1,SBL
BC22,SBL Bio Combination 22,160,25,120,100,1,SBL
BC23,SBL Bio Combination 23,170,25,128,100,1,SBL
BC24,SBL Bio Combination 24,120,25,90,100,1,SBL
BC25,SBL Bio Combination 25,130,25,98,100,1,SBL
BC26,SBL Bio Combination 26,140,25,105,100,1,SBL
BC27,SBL Bio Combination 27,150,25,112,100,1,SBL
BC28,SBL Bio Combination 28,160,25,120,100,1,SBL
SBL1,SBL Nux Vomica 30,120,25,90,100,1,SBL
SBL2,SBL Belladonna 30,130,25,98,100,1,SBL
SBL3,SBL Arnica 30,140,25,105,100,1,SBL
SBL4,SBL Rhus Tox 30,150,25,112,100,1,SBL
SBL5,SBL Bryonia 30,110,25,82,100,1,SBL
SBL6,SBL Lycopodium 30,120,25,90,100,1,SBL
SBL7,SBL Sulphur 30,130,25,98,100,1,SBL
SBL8,SBL Pulsatilla 30,140,25,105,100,1,SBL
SBL9,SBL Calcarea Carb 30,150,25,112,100,1,SBL
SBL10,SBL Arsenic Alb 30,110,25,82,100,1,SBL
SBL11,SBL Gelsemium 30,120,25,90,100,1,SBL
SBL12,SBL Aconite 30,130,25,98,100,1,SBL
SBL13,SBL Hepar Sulph 30,140,25,105,100,1,SBL
SBL14,SBL Merc Sol 30,150,25,112,100,1,SBL
SBL15,SBL Natrum Mur 30,110,25,82,100,1,SBL
SBL16,SBL Thuja 30,120,25,90,100,1,SBL
SBL17,SBL Silicea 30,130,25,98,100,1,SBL
SBL18,SBL Sepia 30,140,25,105,100,1,SBL
SBL19,SBL Apis Mellifica 30,150,25,112,100,1,SBL
SBL20,SBL Chamomilla 30,110,25,82,100,1,SBL
SBL21,SBL Ferrum Phos 30,120,25,90,100,1,SBL
SBL22,SBL Kali Phos 30,130,25,98,100,1,SBL
